topic,query,id,label
Умные системы управления энергией,умный дом управление энергопотреблением,WO2021137720A1_20210708,1
Умные системы управления энергией,умный дом управление энергопотреблением,RU2725023C1_20200629,1
Умные системы управления энергией,умный дом управление энергопотреблением,RU2802324C2_20230824,0
Умные системы управления энергией,умный дом управление энергопотреблением,RU2784136C1_20221123,0
Умные системы управления энергией,умный дом управление энергопотреблением,RU2242832C2_20041220,1
Умные системы управления энергией,умный дом управление энергопотреблением,RU2754869C2_20210908,1
Умные системы управления энергией,умный дом управление энергопотреблением,RU2809641C2_20231214,0
Умные системы управления энергией,умный дом управление энергопотреблением,RU2778270C2_20220817,1
Умные системы управления энергией,умный дом управление энергопотреблением,RU2449346C1_20120427,0
Умные системы управления энергией,умный дом управление энергопотреблением,RU2828436C2_20241011,0
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2429710C2_20110927,0
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2693776C1_20190704,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2529173C2_20140927,0
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2479607C2_20130420,0
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2745320C2_20210323,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2424121C2_20110720,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2587442C1_20160620,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2693545C1_20190703,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2836415C1_20250314,1
Экологически чистые упаковочные материалы,биоразлагаемая упаковка для продуктов,RU2640243C2_20171227,0
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2634734C2_20171103,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2647345C1_20180315,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2761714C1_20211213,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2675477C1_20181219,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2812407C1_20240130,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2755781C1_20210921,0
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2516476C2_20140520,1
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2703325C1_20191016,0
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,RU2672171C1_20181112,0
Технологии для дистанционного обучения,интерактивные платформы для онлайн-обучения,WO2019083392A1_20190502,0
Адаптивные системы для сельского хозяйства,умные датчики для мониторинга урожая,RU2789189C2_20230131,1
Адаптивные системы для сельского хозяйства,умные датчики для мониторинга урожая,RU2720936C2_20200514,1
Адаптивные системы для сельского хозяйства,умные датчики для мониторинга урожая,RU2775442C1_20220630,0
Разработка медицинских устройств,портативные диагностические приборы,RU2515209C2_20140510,0
Разработка медицинских устройств,портативные диагностические приборы,RU2578023C2_20160320,0
Разработка медицинских устройств,портативные диагностические приборы,RU111915U1_20111227,1
Разработка медицинских устройств,портативные диагностические приборы,RU2411925C1_20110220,1
Разработка медицинских устройств,портативные диагностические приборы,RU148306U1_20141127,1
Разработка медицинских устройств,портативные диагностические приборы,RU2254115C2_20050620,0
Разработка медицинских устройств,портативные диагностические приборы,RU144808U1_20140827,1
Разработка медицинских устройств,портативные диагностические приборы,EA0000037472B1_20210331,1
Разработка медицинских устройств,портативные диагностические приборы,RU2011133945A_20130220,1
Разработка медицинских устройств,портативные диагностические приборы,RU2568516C1_20151120,1
Роботизированные решения для сервиса,роботы для доставки товаров,RU2562087C2_20150910,0
Роботизированные решения для сервиса,роботы для доставки товаров,RU2747128C1_20210428,0
Роботизированные решения для сервиса,роботы для доставки товаров,RU2797605C1_20230607,1
Роботизированные решения для сервиса,роботы для доставки товаров,RU2787547C1_20230110,1
Роботизированные решения для сервиса,роботы для доставки товаров,WO2019182477A1_20190926,0
Роботизированные решения для сервиса,роботы для доставки товаров,RU2017133977A_20171123,0
Роботизированные решения для сервиса,роботы для доставки товаров,EA0000021959B1_20151030,0
Роботизированные решения для сервиса,роботы для доставки товаров,RU2787095C1_20221228,1
Роботизированные решения для сервиса,роботы для доставки товаров,RU2785231C1_20221205,0
Роботизированные решения для сервиса,роботы для доставки товаров,RU2810933C2_20240109,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2656836C2_20180606,0
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2624574C1_20170704,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2707398C1_20191126,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,WO2019231348A1_20191205,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2635269C1_20171109,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2778635C1_20220822,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2697961C1_20190821,0
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2750554C2_20210629,1
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2573762C1_20160127,0
Безопасность данных в облачных сервисах,шифрование данных для облачных хранилищ,RU2015127104A_20170112,1
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2010105898A_20110827,1
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2615090C2_20170403,1
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2645190C1_20180216,1
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2287435C2_20061120,0
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2579576C2_20160410,1
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU173041U1_20170808,0
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2358836C1_20090620,0
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2664716C1_20180822,0
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2298480C1_20070510,0
Энергетически эффективные строительные материалы,теплоизоляция нового поколения,RU2664824C1_20180822,1
Технологии для обработки отходов,переработка пластиковых отходов,RU227600U1_20240726,1
