query,id,label,reason
искусственный интеллект в медицине,EA0000010086B1_20080630,1,"патент описывает систему искусственного интеллекта, применяемую в медицине"
искусственный интеллект в медицине,EA200600645A1_20061027,1,патент описывает применение ИИ в медицине для диагностики и выбора лечения.
искусственный интеллект в медицине,BY0000018998C1_20150228,1,патент описывает использование ИИ в медицине для оценки риска развития заболевания
искусственный интеллект в медицине,BY0000018995C1_20150228,1,патент описывает использование ИИ в медицинской диагностике
искусственный интеллект в медицине,EA0000017041B1_20120928,0,"патент описывает медицинский продукт, но не связан с искусственным интеллектом"
искусственный интеллект в медицине,EA0000023758B1_20160729,0,"патент описывает лечение медицинского состояния, но не связан с искусственным интеллектом"
искусственный интеллект в медицине,EA0000030625B1_20180928,0,"патент описывает медицинский продукт, но не связан с искусственным интеллектом"
искусственный интеллект в медицине,EA0000027436B1_20170731,1,патент описывает использование ИИ в медицинской диагностике
искусственный интеллект в медицине,EA0000023557B1_20160630,0,"патент описывает биологический метод диагностики, не связанный с искусственным интеллектом."
искусственный интеллект в медицине,EA0000038600B1_20210921,1,"патент описывает использование ИИ в биологических исследованиях, что является частью медицины."
биометрическая аутентификация на мобильных устройствах,EA0000030774B1_20180928,1,патент описывает систему биометрической аутентификации на мобильных устройствах
биометрическая аутентификация на мобильных устройствах,EA0000002002B1_20011022,1,"описывается устройство сбора и регистрации биометрических данных, что подходит под запрос о биометрической аутентификации на мобильных устройствах."
биометрическая аутентификация на мобильных устройствах,EA0000026054B1_20170228,0,"патент описывает биометрическую аутентификацию, но не на мобильных устройствах"
биометрическая аутентификация на мобильных устройствах,EA0000038055B1_20210629,1,патент описывает биометрическую аутентификацию на мобильном устройстве
биометрическая аутентификация на мобильных устройствах,EA0201201130A1_20130130,1,"патент описывает биометрическую аутентификацию, хотя и не уточняет, что она происходит на мобильных устройствах."
биометрическая аутентификация на мобильных устройствах,EA0000020762B1_20150130,1,описывает биометрическую аутентификацию на устройствах
биометрическая аутентификация на мобильных устройствах,EA0000035549B1_20200706,1,"патент описывает систему аутентификации на мобильных устройствах, включая биометрическую аутентификацию."
биометрическая аутентификация на мобильных устройствах,KZ0000021623A_20090915,1,"патент описывает биометрическую аутентификацию, включая использование на мобильных устройствах"
биометрическая аутентификация на мобильных устройствах,EA0000016997B1_20120928,0,"аутентификация осуществляется через логин и пароль, не упоминается биометрия"
биометрическая аутентификация на мобильных устройствах,EA0000012094B1_20090828,1,"патент описывает биометрическую аутентификацию, хотя и не уточняет, что это происходит на мобильных устройствах."
автоматическое вождение транспортных средств,EA0000037164B1_20210212,1,патент описывает систему автоматического вождения транспортного средства
автоматическое вождение транспортных средств,BY0000023309C1_20210228,0,"патент описывает рулевой механизм, но не связан с автоматическим вождением"
автоматическое вождение транспортных средств,BY0000007276C1_20050930,0,"патент описывает автоматическое управление трансмиссией, а не автоматическое вождение"
автоматическое вождение транспортных средств,EA0000031738B1_20190228,1,патент описывает систему автоматического управления автотранспортным средством
автоматическое вождение транспортных средств,EA0000014197B1_20101029,0,"патент описывает механическую систему трансмиссии, а не автоматическое вождение"
автоматическое вождение транспортных средств,BY0000008007C1_20060430,1,патент описывает систему автоматического управления транспортными средствами
автоматическое вождение транспортных средств,UA0000046387U_20091225,1,патент описывает автоматическое вождение транспортного средства
автоматическое вождение транспортных средств,EA0000013168B1_20100226,0,"патент описывает систему предотвращения аварий, но не связан с автоматическим вождением"
автоматическое вождение транспортных средств,BY0000009142C1_20070430,1,патент описывает систему автоматического управления транспортным средством
автоматическое вождение транспортных средств,KZ0000024027B_20110516,1,патент описывает автоматическое управление движением транспортных средств
